k,inertia,silhouette
2,174499.2616165966,0.5435905495798581
3,147432.35236318922,0.3747480482360681
4,126481.60324579765,0.3740954383837423
5,114313.71272030786,0.3746417701529978
6,102729.20157030976,0.24191338023448275
7,91998.09875734613,0.25128174488859706
8,83803.44980981953,0.265611988835925
9,78666.85844128027,0.26746358505566203
10,74174.47327825127,0.26999568845444766
