shopNo,distCode,totalTransactions,meanTransactions,medianTransactions,maxTransactions,stdTransactions,totalOtherShopTrans,meanUtilization,meanPortability,totalRice,totalWheat,meanRiceWheatRatio,meanTransactionToCardRatio,totalRcs,volatilityCoeff,portabilityLoad,seasonalPeakTransactions,seasonalMeanTransactions,seasonalStdTransactions,seasonalPeakToMean,latitude,longitude,distName,shopStatus,pca1,pca2,pca3,kmeans_cluster,dbscan_cluster,clusterPersona
1815028,533,3,3.0,3.0,3,0.0,3,0.0,1.0,76.0,0.0,0.0,0.0,0.0,0.0,1.0,3,3.0,0.0,1.0,,,,,-2.4324966167225948,2.481084490266767,-0.2353697396281125,1,2,Stable Rural Shops
1815031,533,67,67.0,67.0,67,0.0,67,0.0,1.0,1422.0,0.0,0.0,0.0,0.0,0.0,1.0,67,67.0,0.0,1.0,,,,,-2.1960004276752443,2.385548773958495,-0.3146957216584041,1,2,Stable Rural Shops
1820012,533,4,4.0,4.0,4,0.0,4,0.0,1.0,72.0,0.0,0.0,0.0,0.0,0.0,1.0,4,4.0,0.0,1.0,,,,,-2.4288060629704535,2.4795938153672195,-0.23660761753181206,1,2,Stable Rural Shops
1820010,533,157,157.0,157.0,157,0.0,157,0.0,1.0,2982.0,0.0,0.0,0.0,0.0,0.0,1.0,157,157.0,0.0,1.0,,,,,-1.8634901418503207,2.251229204250485,-0.42622673591992805,1,2,Stable Rural Shops
1815035,533,41,41.0,41.0,41,0.0,41,0.0,1.0,897.0,0.0,0.0,0.0,0.0,0.0,1.0,41,41.0,0.0,1.0,,,,,-2.2920729095408956,2.424358354306604,-0.28247092749447267,1,2,Stable Rural Shops
1815032,533,51,51.0,51.0,51,0.0,51,0.0,1.0,1219.0,0.0,0.0,0.0,0.0,0.0,1.0,51,51.0,0.0,1.0,,,,,-2.2550994125278905,2.4094216594741242,-0.2948727091669574,1,2,Stable Rural Shops
1820014,533,27,27.0,27.0,27,0.0,27,0.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,1.0,27,27.0,0.0,1.0,,,,,-2.343829459970108,2.4452669310243107,-0.2651105809128821,1,2,Stable Rural Shops
1820013,533,1,1.0,1.0,1,0.0,1,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,1.0,,,,,-2.439888988231009,2.48407080346426,-0.23289017122919567,1,2,Stable Rural Shops
1814047,533,119,119.0,119.0,119,0.0,119,0.0,1.0,2192.0,0.0,0.0,0.0,0.0,0.0,1.0,119,119.0,0.0,1.0,,,,,-2.0039080292965523,2.3079527757881415,-0.3791275178925186,1,2,Stable Rural Shops
1814050,533,11,11.0,11.0,11,0.0,11,0.0,1.0,204.0,0.0,0.0,0.0,0.0,0.0,1.0,11,11.0,0.0,1.0,,,,,-2.402942149361114,2.469145855341326,-0.24528292976842261,1,2,Stable Rural Shops
1815008,533,89,44.5,44.5,85,57.27564927611035,89,0.0,1.0,1692.0,0.0,0.0,0.0,0.0,1.2870932421597832,1.0,85,44.5,57.27564927611035,1.9101123595505618,,,,,-0.906661485734181,12.109460169176744,2.4051476156779037,4,3,Volatile Portability Hubs
1815009,533,18,18.0,18.0,18,0.0,18,0.0,1.0,274.0,0.0,0.0,0.0,0.0,0.0,1.0,18,18.0,0.0,1.0,,,,,-2.3770898752227096,2.4587030241604446,-0.2539543023271317,1,2,Stable Rural Shops
1815019,533,86,86.0,86.0,86,0.0,86,0.0,1.0,1752.0,0.0,0.0,0.0,0.0,0.0,1.0,86,86.0,0.0,1.0,,,,,-2.12580368662327,2.3571923652045994,-0.3382412003646315,1,2,Stable Rural Shops
1815023,533,6,6.0,6.0,6,0.0,6,0.0,1.0,142.0,0.0,0.0,0.0,0.0,0.0,1.0,6,6.0,0.0,1.0,,,,,-2.4214103122608,2.4766060131502066,-0.23908832970818386,1,2,Stable Rural Shops
1815024,533,1,1.0,1.0,1,0.0,1,0.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,1.0,,,,,-2.4398869231635847,2.484069893507887,-0.23289087020430724,1,2,Stable Rural Shops
1815025,533,34,34.0,34.0,34,0.0,34,0.0,1.0,784.0,0.0,0.0,0.0,0.0,0.0,1.0,34,34.0,0.0,1.0,,,,,-2.317933256215593,2.4348047425896713,-0.27379682257850946,1,2,Stable Rural Shops
1815026,533,21,5.25,2.0,16,7.22841614740048,21,0.0,1.0,465.0,0.0,0.0,0.0,0.0,1.376841170933425,1.0,16,5.25,7.22841614740048,3.0476190476190474,,,,,-1.267029870800247,14.781669048159655,3.225360816371798,4,-1,Volatile Portability Hubs
